-0.575477,-0.143534
0.294448,-0.150542
2.517058,-0.098551
3.623074,-0.105216
4.733156,-0.107685
5.982496,-0.110344
7.088623,-0.082317
8.189098,-0.140055
8.697751,-0.126925
8.992244,-0.14111
9.343935,-0.009723
9.606494,0.103568
9.865332,0.355414
9.939938,0.732899
9.894593,0.976639
9.742588,1.307928
9.724307,1.801069
9.726126,2.383445
9.711496,2.98205
9.713034,3.573968
9.707933,4.150873
9.729407,4.714608
9.718933,5.302914
9.713963,5.887579
9.679982,6.351769
9.62944,6.894705
9.807127,7.161592
9.874791,7.553242
9.814355,7.817912
9.672595,8.273439
9.507904,8.615435
9.225593,8.81072
8.88216,8.857061
8.571322,8.759946
8.19689,8.601372
7.376114,8.620852
6.236979,8.638614
5.099885,8.639874
3.85163,8.634472
2.721559,8.60516
1.470441,8.633841
0.37094,8.614292
-0.869855,8.612736
-2.294237,8.618786
-3.531033,8.616442
-4.70171,8.628804
-6.307739,8.642757
-7.309764,8.589051
-8.514074,8.599565
-9.750099,8.641574
-10.942606,8.589647
-12.022813,8.628815
-12.504975,8.531873
-12.874652,8.575587
-13.230092,8.450582
-13.570337,8.270242
-13.831225,7.988561
-13.858637,7.66791
-13.811922,7.279886
-13.677115,6.872351
-13.65156,6.282959
-13.660205,5.682923
-13.668493,5.150686
-13.645543,4.839911
-13.645543,4.468501
-13.645543,4.144903
-13.645543,3.804374
-13.645543,3.521099
-13.650378,3.121156
-13.682393,2.414096
-13.654935,1.32796
-13.77672,0.797563
-13.696393,0.518685
-13.533439,0.12349
-13.356984,-0.128758
-13.081354,-0.27787
-12.72475,-0.227595
-12.399971,-0.139594
-11.549416,-0.116029
-10.521488,-0.145606
-9.238998,-0.147796
-8.113854,-0.129397
-7.007165,-0.111773
-5.673333,-0.153675
-4.516149,-0.114005
-3.428866,-0.142062
-2.149323,-0.108787
-0.957734,-0.115799
0.159608,-0.103741
