5.881299999999999722e-02,-1.632099999999999940e-01,6.929330189454101154e-05,-2.035975621324506019e-02,3.326991158528049691e-03,8.496070000000000011e-01,8.523070000000000368e-01
7.966111863001823501e-02,-1.631909090166201726e-01,-3.009540600753573666e-05,-2.133220142955797108e-02,3.478823908907024975e-03,8.509710000000000329e-01,8.464859999999999607e-01
1.014688436246490438e-01,-1.632681589537603450e-01,-1.233885391454034438e-04,-2.227896894247021961e-02,3.624926150241499032e-03,8.503030000000000310e-01,8.470280000000000031e-01
1.242104972804917856e-01,-1.634356542366562359e-01,-2.105860975190620185e-04,-2.320005875198180578e-02,3.765559776565807672e-03,8.496719999999999828e-01,8.503420000000000423e-01
1.478604018941457598e-01,-1.636872992905437363e-01,-2.916880811285115860e-04,-2.409547085809272959e-02,3.900993432991805340e-03,8.507949999999999680e-01,8.489950000000000552e-01
1.723928797622103770e-01,-1.640169985406585429e-01,-3.666944899737520922e-04,-2.496520526080299104e-02,4.031502515708855136e-03,8.452039999999999553e-01,8.480860000000000065e-01
1.977822531812848672e-01,-1.644186564122364913e-01,-4.356053240547833744e-04,-2.580926196011259013e-02,4.157369171983838797e-03,8.504739999999999522e-01,8.482490000000000308e-01
2.240028444479686409e-01,-1.648861773305133893e-01,-4.984205833716057578e-04,-2.662764095602152686e-02,4.278882300161150620e-03,8.498649999999999816e-01,8.509130000000000305e-01
2.510289758588610809e-01,-1.654134657207249337e-01,-5.551402679242190257e-04,-2.742034224852980470e-02,4.396337549662700066e-03,8.457959999999999923e-01,8.525449999999999973e-01
2.788349697105613756e-01,-1.659944260081070710e-01,-6.057643777126232865e-04,-2.818736583763742018e-02,4.510037320987913927e-03,8.467850000000000099e-01,8.498379999999999823e-01
3.073951482996690188e-01,-1.666229626178954704e-01,-6.502929127368184316e-04,-2.892871172334436983e-02,4.620290765713725052e-03,8.530619999999999870e-01,8.547129999999999450e-01
3.366838339227832266e-01,-1.672929799753259950e-01,-6.887258729968045697e-04,-2.964437990565065711e-02,4.727413786494591430e-03,8.484779999999999545e-01,8.478050000000000308e-01
3.666753488765033819e-01,-1.679983825056343416e-01,-7.210632584925813753e-04,-3.033437038455628898e-02,4.831729037062477972e-03,8.486270000000000202e-01,8.516160000000000396e-01
