-0.147626, 0.050833, -0.008559, 0.773997, -0.093561, 0.000000, 0.000000, 0.000000
-0.390146, 0.046925, -0.020184, 1.773929, -0.095334, 0.024269, -0.000074, -0.006347
-0.235091, -0.015501, -0.030635, 1.999940, -0.052956, 0.131045, -0.004643, -0.033849
-0.006459, -0.010392, -0.065378, 1.999970, -0.032199, 0.311677, -0.019019, -0.066022
0.367977, -0.072470, -0.080247, 1.999965, 0.008688, 0.630906, -0.050316, -0.099954
0.597650, -0.101872, -0.103892, 1.999973, 0.044844, 0.916547, -0.080948, -0.103759
1.303340, -0.132086, -0.076606, 1.683430, 0.051017, 1.262613, -0.109692, -0.069857
1.756703, -0.134192, -0.027900, 1.482711, 0.021567, 1.571831, -0.121691, -0.025392
2.215376, -0.109965, 0.016139, 1.042366, -0.008867, 1.913084, -0.121404, 0.008008
2.400673, -0.112696, 0.016858, 1.240571, -0.010822, 2.130332, -0.119886, 0.006155
2.605630, -0.080900, 0.004077, 1.497736, -0.021042, 2.311575, -0.119975, 0.000627
2.893388, -0.082582, -0.019257, 1.703209, -0.011186, 2.572863, -0.123310, -0.013903
3.155716, -0.140853, -0.025173, 1.833772, 0.035375, 2.859132, -0.130238, -0.024549
3.408858, -0.130793, -0.018451, 1.920751, 0.040410, 3.144759, -0.134057, -0.006331
3.704408, -0.119524, 0.015217, 1.811691, 0.011161, 3.457707, -0.127825, 0.028178
4.090445, -0.074351, 0.027359, 1.745062, -0.011973, 3.812091, -0.112120, 0.047716
4.359867, -0.053693, 0.027122, 1.737361, -0.030600, 4.161724, -0.096416, 0.041329
4.738975, -0.086590, 0.017073, 1.622406, -0.016507, 4.455213, -0.088551, 0.020056
5.059568, -0.061179, 0.003065, 1.701756, -0.011655, 4.822330, -0.087625, -0.003101
5.396867, -0.079989, -0.035747, 1.700957, 0.015470, 5.154160, -0.092232, -0.016689
5.683101, -0.097019, -0.026599, 1.775963, 0.023026, 5.504505, -0.096168, -0.006558
6.005618, -0.061370, 0.005177, 1.672820, -0.021063, 5.814685, -0.094024, 0.012594
6.332263, -0.070967, 0.011156, 1.748362, -0.026752, 6.130709, -0.090902, 0.004565
6.699691, -0.072220, -0.038914, 1.762955, -0.013521, 6.466252, -0.094760, -0.018561
7.056515, -0.109569, -0.032364, 1.815099, 0.016259, 6.869385, -0.108502, -0.039884
7.383949, -0.109680, -0.038569, 1.730085, 0.042975, 7.132824, -0.118450, -0.034869
7.689644, -0.133259, -0.023525, 1.602661, 0.075362, 7.464166, -0.122970, -0.001479
8.083445, -0.092736, 0.048568, 1.488383, 0.071105, 7.809459, -0.108514, 0.063754
8.387182, -0.038998, 0.111275, 1.355342, 0.063707, 8.119888, -0.072410, 0.130520
8.632038, 0.021777, 0.172178, 1.162236, 0.082321, 8.377356, -0.026647, 0.181614
8.883888, 0.113207, 0.242172, 0.930063, 0.089854, 8.594450, 0.025114, 0.234528
9.048258, 0.192795, 0.297917, 0.780169, 0.110380, 8.778133, 0.081237, 0.288028
9.182431, 0.260488, 0.333852, 0.889746, 0.187542, 8.941040, 0.143013, 0.344794
9.313907, 0.320412, 0.404500, 1.127216, 0.319295, 9.075600, 0.208104, 0.419987
